Date,Open,High,Low,Close,Adj Close
01/12/2003,4.4287,4.4405,4.329,4.3836,4.3836
01/01/2004,4.3822,4.492,4.3541,4.4601,4.4601
01/02/2004,4.4601,4.497,4.4209,4.4661,4.4661
01/03/2004,4.466,4.5305,4.4607,4.5158,4.5158
01/04/2004,4.5155,4.6145,4.4936,4.5785,4.5785
01/05/2004,4.5782,4.6905,4.5384,4.543,4.543
01/06/2004,4.543,4.5535,4.4757,4.4885,4.4885
01/07/2004,4.4885,4.5206,4.4505,4.5042,4.5042
01/08/2004,4.5042,4.5456,4.4988,4.5115,4.5115
01/09/2004,4.5115,4.517,4.4596,4.4695,4.4695
01/10/2004,4.4692,4.4793,4.3977,4.4409,4.4409
01/11/2004,4.441,4.4514,4.3424,4.3542,4.3542
01/12/2004,4.3541,4.3675,4.2944,4.3095,4.3095
01/01/2005,4.3093,4.407,4.308,4.3753,4.3753
01/02/2005,4.375,4.3911,4.3186,4.3335,4.3335
01/03/2005,4.333,4.3732,4.2817,4.353,4.353
01/04/2005,4.3531,4.388,4.3393,4.3603,4.3603
01/05/2005,4.3603,4.4073,4.3365,4.4011,4.4011
01/06/2005,4.4009,4.576,4.389,4.5668,4.5668
01/07/2005,4.5673,4.6402,4.474,4.5185,4.5185
01/08/2005,4.5189,4.5565,4.417,4.5246,4.5246
01/09/2005,4.5181,4.605,4.4572,4.5849,4.5849
01/10/2005,4.5849,4.6563,4.5721,4.631,4.631
01/11/2005,4.6303,4.742,4.5689,4.6432,4.6432
01/12/2005,4.6437,4.6669,4.532,4.6,4.6
01/01/2006,4.6,4.6675,4.523,4.657,4.657
01/02/2006,4.651,4.7263,4.6164,4.6927,4.6927
01/03/2006,4.6932,4.7204,4.5072,4.6765,4.6765
01/04/2006,4.6765,4.6973,4.4696,4.4789,4.4789
01/05/2006,4.4786,4.5447,4.3895,4.515,4.515
01/06/2006,4.5138,4.5289,4.4015,4.4162,4.4162
01/07/2006,4.4162,4.7362,4.336,4.3902,4.3902
01/08/2006,4.3904,4.4718,4.2985,4.3392,4.3392
01/09/2006,4.3393,4.539,4.2468,4.302,4.302
01/10/2006,4.301,4.302,4.2207,4.27,4.27
01/11/2006,4.263,4.3555,4.2232,4.2233,4.2233
01/12/2006,4.2209,4.2379,4.1449,4.2125,4.2125
01/01/2007,4.2125,4.2756,4.171,4.251,4.251
01/02/2007,4.2504,4.2598,4.1649,4.209,4.209
01/03/2007,4.214,4.24,4.143,4.1521,4.1521
01/04/2007,4.152,4.164,3.9978,4.0189,4.0189
01/05/2007,4.0179,4.075,3.8956,4.056,4.056
01/06/2007,4.062,4.293,4.0432,4.25,4.25
01/07/2007,4.25,4.3515,4.155,4.309,4.309
01/08/2007,4.308,4.352,4.105,4.115,4.115
01/09/2007,4.12,4.143,4.005,4.015,4.015
01/10/2007,4.013,4.053,3.943,3.954,3.954
01/11/2007,3.955,3.992,3.8001,3.824,3.824
01/12/2007,3.827,4.0195,3.82,3.848,3.848
01/01/2008,3.853,3.869,3.6,3.61,3.61
01/02/2008,3.61,3.664,3.557,3.631,3.631
01/03/2008,3.625,3.665,3.349,3.53,3.53
01/04/2008,3.551,3.647,3.4129,3.42,3.42
01/05/2008,3.44,3.4809,3.2198,3.229,3.229
01/06/2008,3.235,3.431,3.222,3.3437,3.3437
01/07/2008,3.295,3.506,3.2,3.483,3.483
01/08/2008,3.516,3.597,3.511,3.584,3.584
01/09/2008,3.585,3.648,3.369,3.454,3.454
01/10/2008,3.454,3.901,3.4252,3.776,3.776
01/11/2008,3.736,4.0325,3.705,3.975,3.975
01/12/2008,3.975,4.012,3.365,3.777,3.777
01/01/2009,3.775,4.0811,3.7402,4.059,4.059
01/02/2009,4.04,4.206,3.9507,4.16,4.16
01/03/2009,4.17,4.2515,3.9996,4.215,4.215
01/04/2009,4.214,4.2702,4.0008,4.1625,4.1625
01/05/2009,4.1625,4.177,3.8686,3.912,3.912
01/06/2009,3.913,4.006,3.795,3.917,3.917
01/07/2009,3.917,4.0036,3.7049,3.7885,3.7885
01/08/2009,3.794,3.941,3.7635,3.793,3.793
01/09/2009,3.805,3.8312,3.6948,3.764,3.764
01/10/2009,3.761,3.7885,3.6567,3.744,3.744
01/11/2009,3.744,3.8353,3.6505,3.783,3.783
01/12/2009,3.783,3.8185,3.6808,3.783,3.783
01/01/2010,3.78,3.798,3.6315,3.718,3.718
01/02/2010,3.718,3.8005,3.6772,3.7717,3.7717
01/03/2010,3.7727,3.8013,3.669,3.675,3.675
01/04/2010,3.6881,3.753,3.658,3.7247,3.7247
01/05/2010,3.713,3.882,3.713,3.879,3.879
01/06/2010,3.879,3.897,3.79,3.885,3.885
01/07/2010,3.885,3.9097,3.762,3.7674,3.7674
01/08/2010,3.854,3.9034,3.742,3.814,3.814
01/09/2010,3.809,3.818,3.5977,3.66,3.66
01/10/2010,3.659,3.66,3.5566,3.649,3.649
01/11/2010,3.626,3.699,3.5599,3.678,3.678
01/12/2010,3.672,3.678,3.5255,3.542,3.542
01/01/2011,3.536,3.7436,3.4995,3.719,3.719
01/02/2011,3.709,3.73,3.5896,3.641,3.641
01/03/2011,3.623,3.651,3.467,3.5,3.5
01/04/2011,3.468,3.482,3.2388,3.391,3.391
01/05/2011,3.381,3.5655,3.365,3.4407,3.4407
01/06/2011,3.424,3.496,3.3431,3.414,3.414
01/07/2011,3.3897,3.482,3.3679,3.428,3.428
01/08/2011,3.4193,3.63,3.3988,3.569,3.569
01/09/2011,3.556,3.7567,3.5313,3.725,3.725
01/10/2011,3.7586,3.771,3.5684,3.5732,3.5732
01/11/2011,3.6146,3.804,3.614,3.7845,3.7845
